name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Hotel Catalonia Albéniz - HB-003939,C Aragó,591,el Camp de l'Arpa del Clot,Sant Martí,932652626,431952.3689234745,4584389.843673437
Hotel Grupotel Gravina - HB-003865,C Gravina,12,el Raval,Ciutat Vella,933016868,430254.91393157607,4581882.663784888
Hotel Ramblas Barcelona - HB-002912,C Rambla,33,el Raval,Ciutat Vella,933015700,431005.88477851346,4581164.960943552
Hotel Chi - HB-004736,G.V. Corts Catalanes,455,la Nova Esquerra de l'Eixample,Eixample,933257804,429284.0965112681,4581205.502192049
Hotel Omnium - HB-004694,C Bruc,42,la Dreta de l'Eixample,Eixample,933172124,430867.3248340649,4582584.579061666
Hotel chic&basic Zoo - HB-002223,Pg Picasso,22,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932954652,431733.93251971336,4582051.1424426725
Hotel Continental Palacete - HB-004102,Rbla Catalunya,30,la Dreta de l'Eixample,Eixample,934457657,430239.02198682807,4582361.282111296
Hotel Catalonia Roma - HB-003873,Av Roma,31,la Nova Esquerra de l'Eixample,Eixample,934106633,428582.10027301527,4581505.921112339
Hotel Ohla Eixample - HB-004718,C Còrsega,289,la Dreta de l'Eixample,Eixample,937377977,429480.0952517805,4582893.453761802
Hotel Sansi Pedralbes - HB-004086,Av Pearson,1,Pedralbes,Les Corts,932063880,425727.40873114613,4582843.735443351
Gran Hotel Havana - HB-003916,G.V. Corts Catalanes,647,la Dreta de l'Eixample,Eixample,933417000,430796.4635018803,4582686.134056361
Hotel Hilton Barcelona - HB-003892,Av Diagonal,589,les Corts,Les Corts,934957777,427379.8327908888,4582296.645139955
Aparthotel Arai - HB-004508,C Avinyó,30,el Barri Gòtic,Ciutat Vella,933203950,431213.2837213088,4581363.605046948
Hotel Catalonia La Pedrera - HB-004094,C Còrsega,368,la Dreta de l'Eixample,Eixample,932081919,429981.8652787121,4583358.929325409
Aparthotel Casa Gràcia - HB-004672,Pg Gràcia,114,la Vila de Gràcia,Gràcia,931874497,429724.54381581885,4583182.694991105
Hotel-Apartament Murmuri Residence - HB-004674,Ptge Concepció,13,la Dreta de l'Eixample,Eixample,934922244,429777.4633635166,4582885.935897026
Hotel Acta Bcn 40 - HB-004468,C Joaquín Costa,40,el Raval,Ciutat Vella,933185100,430248.0330625834,4581573.396801631
Hotel Brummel - HB-004668,C Nou de la Rambla,174,el Poble-sec,Sants-Montjuïc,931258622,430294.5428631298,4580353.796716197
Hotel Od Barcelona - HB-004762,C Aragó,300,la Dreta de l'Eixample,Eixample,932150899,430389.69342916494,4582811.756747286
Hotel Garbí Mil·lenni - HB-004157,Rda Sant Pau,14,el Raval,Ciutat Vella,934414177,430340.24131913285,4580834.519032576
Hotel Bcn Urban Gran Ducat - HB-004122,Rda Sant Pere,15,la Dreta de l'Eixample,Eixample,933426370,430754.12700378546,4582246.616336019
Hotel H10 Racó del Pi - HB-004164,C Pi,7,el Barri Gòtic,Ciutat Vella,933426190,430931.96039907297,4581643.401258843
Hotel Apartament Murmuri Residence Mercader - HB-004738,Ptge Mercader,13,la Dreta de l'Eixample,Eixample,935500600,429783.0783551064,4582664.740056167
Hotel H10 Cubik - HB-004696,Via Laietana,69,el Barri Gòtic,Ciutat Vella,933202200,430868.8249046603,4582170.013106958
Eurostars Grand Marina Hotel - HB-004155,Moll Barcelona,,el Raval,Ciutat Vella,936039000,431432.68276736507,4580484.449673422
Hotel Bagués - HB-004440,C Rambla,105,el Raval,Ciutat Vella,933435000,430733.41834079154,4581587.385764902
Hotel Cuatro Naciones - HB-000071,C Rambla,40,el Barri Gòtic,Ciutat Vella,933173624,431029.5595431845,4581190.001703964
Hotel Royal Ramblas - HB-001934,C Rambla,117,el Raval,Ciutat Vella,933019400,430651.37110297394,4581759.502068356
Hotel Lloret Ramblas - HB-000025,C Rambla,125,el Raval,Ciutat Vella,933173366,430621.35338369414,4581813.308537101
Hotel Mosaic -  HB-004802,Rbla Catalunya,84,la Dreta de l'Eixample,Eixample,935220420,429909.3761231202,4582686.504870027
Hotel Acta Antibes - HB-000241,C Diputació,394,el Fort Pienc,Eixample,932326211,431292.8525468223,4583326.7559081325
Hotel Reding Croma - HB-003893,C Gravina,5,el Raval,Ciutat Vella,934121097,430241.4390653162,4581869.399911546
Hotel Sant Agustí - HB-000030,Pl Sant Agustí,3,el Raval,Ciutat Vella,933181658,430733.0443968088,4581332.969247907
Hotel Two by Axel - HB-004688,C Calàbria,90,Sant Antoni,Eixample,935392313,429431.79107966245,4581184.364429233
Hotel Call - HB-001122,C Arc de Sant Ramon del Call,4,el Barri Gòtic,Ciutat Vella,933021123,431077.9860038003,4581524.491449147
Hotel Advance - HB-004450,C Sepúlveda,180,Sant Antoni,Eixample,932892892,430003.5444233145,4581651.173992039
Hotel Eurostars Anglí - HB-004300,C Anglí,60,Sarrià,Sarrià-Sant Gervasi,932069944,426704.9790052535,4583880.656542476
Hotel Barcelona Universal - HB-004114,Av Paral.lel,76,el Raval,Ciutat Vella,935677447,430451.7502540079,4580741.611962488
Grand Hotel Central Barcelona- HB-004280,Via Laietana,30,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932957900,431244.3513265111,4581817.391624524
Barcelona City Hotel - HB-003925,C Aragó,281,la Dreta de l'Eixample,Eixample,934879762,430280.35650476394,4582748.870338276
Hotel Europark - HB-003249,C Aragó,325,la Dreta de l'Eixample,Eixample,934579205,430625.68507888576,4583087.462106158
Hotel NH Barcelona del Mar - HB-004161,Carrer d'Espronceda,6,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,935029700,433970.75246442034,4583640.691379466
Ayre Hotel Gran Via - HB-004314,G.V. Corts Catalanes,322,la Font de la Guatlla,Sants-Montjuïc,933675500,428692.93239722244,4580554.230425302
Hotel Le Palacete - HB-004768,C Legalitat,10,la Vila de Gràcia,Gràcia,932845025,429756.025264996,4584356.127553208
Capri by Fraser Hotel Residences - HB-004373,C Sancho de Ávila,32,el Parc i la Llacuna del Poblenou,Sant Martí,933208735,432195.4357959246,4583230.698027298
Hotel La Casa del Sol - HB-004855,C Maspons,11,la Vila de Gràcia,Gràcia,932753941,429482.90906729293,4583643.384447229
Hotel Amrey Sant Pau - HB-004046,C Sant Antoni Maria Claret,173,el Guinardó,Horta-Guinardó,934335151,431292.6101985742,4585044.269159299
Hotel H10 Itaca - HB-004151,Av Roma,22,la Nova Esquerra de l'Eixample,Eixample,932265594,428547.07163035666,4581426.871876443
Hotel HLG Citypark Pelai - HB-004236,C Pelai,1,la Dreta de l'Eixample,Eixample,933427020,430224.18921786465,4581942.399195621
Hotel Rívoli Ramblas - HB-003878,C Rambla,128,el Barri Gòtic,Ciutat Vella,934817676,430700.6946249094,4581752.552146294
Hotel H10 Casanova - HB-004363,G.V. Corts Catalanes,559,l'Antiga Esquerra de l'Eixample,Eixample,933964800,429844.6709463343,4581754.309952589
Hotel Astoria - HB-000017,C París,203,l'Antiga Esquerra de l'Eixample,Eixample,932098311,429235.26464186865,4582842.004212575
BCN Urban Hotels Gran Ronda - HB-004557,Rda Sant Antoni,49,Sant Antoni,Eixample,933271800,430059.3508849808,4581630.959200872
Abba Sants Hotel - HB-004078,C Numància,32,Sants,Sants-Montjuïc,936003100,428095.330988024,4581587.38321412
Hotel Aranea - HB-004230,C Consell de Cent,444,el Fort Pienc,Eixample,932477474,431100.964411104,4583328.020856755
Hotel NH Entenza - HB-003972,C Equador,20,les Corts,Les Corts,934193636,428138.9894896981,4581933.299847633
Nobu Hotel Barcelona - HB-004350,Av Roma,2,Hostafrancs,Sants-Montjuïc,934936026,428290.25216047897,4581270.945343928
Hotel Catalonia Park Güell - HB-003790,Pg Mare de Déu del Coll,10,el Coll,Gràcia,932191204,428529.99901420326,4585109.69194908
Hotel Casa Sagnier- HB-004374,Rbla Catalunya,104,la Dreta de l'Eixample,Eixample,935 959 545,429746.6566710263,4582847.002270452
B-Hotel - HB-004319,G.V. Corts Catalanes,389,la Nova Esquerra de l'Eixample,Eixample,935529500,428968.7926403704,4580905.267056555
Hotel Casa Fuster - HB-004219,Pg Gràcia,132,la Vila de Gràcia,Gràcia,932553000,429616.0488488654,4583284.14397895
Hotel Spa Senator Barcelona - HB-004145,C Cardenal Reig,11,la Maternitat i Sant Ramon,Les Corts,932609900,425899.6074660398,4580989.759572908
Hotel Alba - HB-003411,C Hospital,83,el Raval,Ciutat Vella,934428367,430603.4186618997,4581309.8114473475
Hotel Balmoral - HB-002606,Via Augusta,5,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932178700,429377.03921294777,4583085.639865464
Hotel Fornos - HB-000011,C Rambla,44,el Barri Gòtic,Ciutat Vella,933182024,431008.82773755695,4581225.140356758
Hotel Granvía - HB-000012,G.V. Corts Catalanes,642,la Dreta de l'Eixample,Eixample,933181900,430568.89077459206,4582390.495894153
Hotel Nouvel - HB-000078,C Santa Anna,18,el Barri Gòtic,Ciutat Vella,933018274,430732.64629176795,4581861.958085163
Hotel Exe Ramblas Boqueria - HB-004339,C Rambla,91,el Raval,Ciutat Vella,933435461,430780.5898971491,4581514.685484091
Hotel Sofía - HB-003487,Pl Pius XII,4,la Maternitat i Sant Ramon,Les Corts,935081000,426685.834591996,4582041.206482655
Hotel Attica21 Barcelona Mar - HB-004340,Carrer de Provençals,10,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,932665200,434153.26760828873,4584063.983286744
Hotel The Hoxton- HB-004207,Av Diagonal,205,el Parc i la Llacuna del Poblenou,Sant Martí,,432322.4214243451,4583915.163376713
Hotel Pulitzer - HB-004213,C Bergara,8,la Dreta de l'Eixample,Eixample,934816767,430468.4808396877,4581959.070083267
Hotel Sunotel Junior - HB-004278,Av Sarrià,9,la Nova Esquerra de l'Eixample,Eixample,933633501,428714.74979711196,4582385.080561163
